profile,seconds,ladder,threshold_streak,tier,cost,retail,reach_count,reach_rate,awards,award_rate,operator_cost_total,operator_cost_ev_per_entry,player_retail_total,player_retail_ev_per_entry
Experienced Pokemon Player,15,current,9,1 Ascended Heroes Pack,17.0,25.0,6510826,0.26043304,3276718,0.13106872,55704206.0,2.22816824,81917950.0,3.276718
Experienced Pokemon Player,15,current,11,1 Mega Evolution Tin,20.0,30.0,3234108,0.12936432,1733173,0.06932692,34663460.0,1.3865384,51995190.0,2.0798076
Experienced Pokemon Player,15,current,13,1 Ascended Heroes Tin,20.0,40.0,1500935,0.0600374,848990,0.0339596,16979800.0,0.679192,33959600.0,1.358384
Experienced Pokemon Player,15,current,15,1 Prismatic Tin,20.0,60.0,651945,0.0260778,633466,0.02533864,12669320.0,0.5067728,38007959.99999999,1.5203183999999998
Experienced Pokemon Player,15,current,22,1 Prismatic ETB,100.0,230.0,18479,0.00073916,18479,0.00073916,1847900.0,0.073916,4250170.0,0.17000679999999999
Experienced Pokemon Player,15,adjusted,13,1 Ascended Heroes Pack,17.0,25.0,1500935,0.0600374,848990,0.0339596,14432830.0,0.5773132,21224750.0,0.84899
Experienced Pokemon Player,15,adjusted,15,1 Mega Evolution Tin,20.0,30.0,651945,0.0260778,417454,0.01669816,8349080.0,0.3339632,12523620.0,0.5009448
Experienced Pokemon Player,15,adjusted,17,1 Ascended Heroes Tin,20.0,40.0,234491,0.00937964,149922,0.00599688,2998440.0,0.11993759999999999,5996880.0,0.23987519999999998
Experienced Pokemon Player,15,adjusted,19,1 Prismatic Tin,20.0,60.0,84569,0.00338276,83699,0.00334796,1673980.0,0.0669592,5021940.0,0.20087760000000002
Experienced Pokemon Player,15,adjusted,28,1 Prismatic ETB,100.0,230.0,870,3.48e-05,870,3.48e-05,87000.0,0.00348,200099.99999999997,0.008003999999999999
Pokemon Collector,15,current,9,1 Ascended Heroes Pack,17.0,25.0,1690362,0.06761448,1064755,0.0425902,18100835.0,0.7240334,26618875.000000004,1.0647550000000001
Pokemon Collector,15,current,11,1 Mega Evolution Tin,20.0,30.0,625607,0.02502428,404866,0.01619464,8097319.999999999,0.3238928,12145980.0,0.48583919999999997
Pokemon Collector,15,current,13,1 Ascended Heroes Tin,20.0,40.0,220741,0.00882964,146718,0.00586872,2934360.0,0.1173744,5868720.0,0.2347488
Pokemon Collector,15,current,15,1 Prismatic Tin,20.0,60.0,74023,0.00296092,72912,0.00291648,1458239.9999999998,0.058329599999999995,4374720.0,0.1749888
Pokemon Collector,15,current,22,1 Prismatic ETB,100.0,230.0,1111,4.444e-05,1111,4.444e-05,111100.0,0.004444,255530.0,0.0102212
Pokemon Collector,15,adjusted,13,1 Ascended Heroes Pack,17.0,25.0,220741,0.00882964,146718,0.00586872,2494206.0,0.09976824,3667949.9999999995,0.146718
Pokemon Collector,15,adjusted,15,1 Mega Evolution Tin,20.0,30.0,74023,0.00296092,51484,0.00205936,1029680.0,0.0411872,1544520.0,0.061780800000000004
Pokemon Collector,15,adjusted,17,1 Ascended Heroes Tin,20.0,40.0,22539,0.00090156,15821,0.00063284,316420.0,0.0126568,632840.0,0.0253136
Pokemon Collector,15,adjusted,19,1 Prismatic Tin,20.0,60.0,6718,0.00026872,6693,0.00026772,133860.0,0.0053544,401580.0,0.0160632
Pokemon Collector,15,adjusted,28,1 Prismatic ETB,100.0,230.0,25,1e-06,25,1e-06,2500.0,9.999999999999999e-05,5749.999999999999,0.00022999999999999998
Novice,15,current,9,1 Ascended Heroes Pack,17.0,25.0,396368,0.01585472,276316,0.01105264,4697372.0,0.18789488000000001,6907900.0,0.276316
Novice,15,current,11,1 Mega Evolution Tin,20.0,30.0,120052,0.00480208,84848,0.00339392,1696960.0000000002,0.0678784,2545440.0,0.1018176
Novice,15,current,13,1 Ascended Heroes Tin,20.0,40.0,35204,0.00140816,25072,0.00100288,501440.00000000006,0.020057600000000002,1002880.0000000001,0.040115200000000004
Novice,15,current,15,1 Prismatic Tin,20.0,60.0,10132,0.00040528,10028,0.00040112,200559.99999999997,0.008022399999999999,601680.0,0.0240672
Novice,15,current,22,1 Prismatic ETB,100.0,230.0,104,4.16e-06,104,4.16e-06,10400.0,0.000416,23920.0,0.0009568
Novice,15,adjusted,13,1 Ascended Heroes Pack,17.0,25.0,35204,0.00140816,25072,0.00100288,426224.00000000006,0.017048960000000002,626800.0,0.025072
Novice,15,adjusted,15,1 Mega Evolution Tin,20.0,30.0,10132,0.00040528,7330,0.0002932,146600.0,0.005864,219900.0,0.008796
Novice,15,adjusted,17,1 Ascended Heroes Tin,20.0,40.0,2802,0.00011208,2054,8.216e-05,41080.0,0.0016432,82160.0,0.0032864
Novice,15,adjusted,19,1 Prismatic Tin,20.0,60.0,748,2.992e-05,747,2.988e-05,14940.0,0.0005976,44820.0,0.0017928
Novice,15,adjusted,28,1 Prismatic ETB,100.0,230.0,1,4e-08,1,4e-08,100.0,4e-06,230.0,9.2e-06
